icao,name,email,phone
GNL,135 Airways,135airways@email.com,1000
RNX,1Time Airline,1timeairline@email.com,1001
WYT,2 Sqn No 1 Elementary Flying Training School,2sqnno1elementaryflyingtrainingschool@email.com,1002
TFU,213 Flight Unit,213flightunit@email.com,1003
CHD,223 Flight Unit State Airline,223flightunitstateairline@email.com,1004
TTF,224th Flight Unit,224thflightunit@email.com,1005
TWF,247 Jet Ltd,247jetltd@email.com,1006
SEC,3D Aviation,3daviation@email.com,1007
MLA,40-Mile Air,40-mileair@email.com,1008
QRT,4D Air,4dair@email.com,1009
THD,611897 Alberta Limited,611897albertalimited@email.com,1010
AAA,Ansett Australia,ansettaustralia@email.com,1011
,Abacus International,abacusinternational@email.com,1012
AAB,Abelag Aviation,abelagaviation@email.com,1013
AAC,Army Air Corps,armyaircorps@email.com,1014
AAD,Aero Aviation Centre Ltd.,aeroaviationcentreltd.@email.com,1015
SII,Aero Servicios Ejecutivos Internacionales,aeroserviciosejecutivosinternacionales@email.com,1016
BZS,Aero Biniza,aerobiniza@email.com,1017
ABM,Aero Albatros,aeroalbatros@email.com,1018
AAF,Aigle Azur,aigleazur@email.com,1019
AAH,Aloha Airlines,alohaairlines@email.com,1020
AAK,Alaska Island Air,alaskaislandair@email.com,1021
AAL,American Airlines,americanairlines@email.com,1022
AAM,Aviation Management Corporation,aviationmanagementcorporation@email.com,1023
AAO,Atlantis Airlines (USA),atlantisairlines(usa)@email.com,1024
AAP,Aerovista Airlines,aerovistaairlines@email.com,1025
AAR,Asiana Airlines,asianaairlines@email.com,1026
AAS,Askari Aviation,askariaviation@email.com,1027
AAU,Australia Asia Airlines,australiaasiaairlines@email.com,1028
AAV,Astro Air International,astroairinternational@email.com,1029
AAW,Afriqiyah Airways,afriqiyahairways@email.com,1030
AFU,Afrinat International Airlines,afrinatinternationalairlines@email.com,1031
AAX,Afric'air Express,afric'airexpress@email.com,1032
AAY,Allegiant Air,allegiantair@email.com,1033
AAZ,Angus Aviation,angusaviation@email.com,1034
ABA,Artem-Avia,artem-avia@email.com,1035
ABB,African Business and Transportations,africanbusinessandtransportations@email.com,1036
ABE,Aban Air,abanair@email.com,1037
ABF,Aerial Oy,aerialoy@email.com,1038
ABG,Abakan-Avia,abakan-avia@email.com,1039
TUS,ABSA - Aerolinhas Brasileiras,absa-aerolinhasbrasileiras@email.com,1040
ABJ,Abaet,abaet@email.com,1041
ABK,Alberta Citylink,albertacitylink@email.com,1042
ABO,APSA Colombia,apsacolombia@email.com,1043
ABU,Aerovias Bueno,aeroviasbueno@email.com,1044
ACR,Aerocenter,aerocenter@email.com,1045
ABV,Antrak Air,antrakair@email.com,1046
ABX,Airborne Express,airborneexpress@email.com,1047
ABX,ABX Air,abxair@email.com,1048
ABZ,ATA Brasil,atabrasil@email.com,1049
ACC,Avcard Services,avcardservices@email.com,1050
ACD,Academy Airlines,academyairlines@email.com,1051
ACO,Aero Comondu,aerocomondu@email.com,1052
ACP,Astral Aviation,astralaviation@email.com,1053
ACS,Air Cess,aircess@email.com,1054
AAI,Air Aurora,airaurora@email.com,1055
ACU,Air Cargo Transportation System,aircargotransportationsystem@email.com,1056
ACV,Air Charter Service,aircharterservice@email.com,1057
RSO,Aero Asia International,aeroasiainternational@email.com,1058
ACX,Air Charters,aircharters@email.com,1059
TGA,Air Togo,airtogo@email.com,1060
RSM,Air Somalia,airsomalia@email.com,1061
ACY,Atlas Cargo Lines,atlascargolines@email.com,1062
ADA,Airservices Australia,airservicesaustralia@email.com,1063
,Advance Leasing Company,advanceleasingcompany@email.com,1064
,Aztec Worldwide Airlines,aztecworldwideairlines@email.com,1065
,Air Tindi,airtindi@email.com,1066
ADB,Antonov Airlines,antonovairlines@email.com,1067
ADC,Air Atlantic Dominicana,airatlanticdominicana@email.com,1068
ADD,Advanced Air Co.,advancedairco.@email.com,1069
ADE,Ada Air,adaair@email.com,1070
ADG,Aerea Flying Training Organization,aereaflyingtrainingorganization@email.com,1071
ADI,Audeli Air,audeliair@email.com,1072
ADJ,Abicar,abicar@email.com,1073
ADK,ADC Airlines,adcairlines@email.com,1074
ADL,Aero Dynamics,aerodynamics@email.com,1075
ADM,Aerolineas Dominicanas,aerolineasdominicanas@email.com,1076
ADN,Aerodienst GmbH,aerodienstgmbh@email.com,1077
ADP,Aerodiplomatic,aerodiplomatic@email.com,1078
ADY,Aerodyne,aerodyne@email.com,1079
ADQ,Avion Taxi,aviontaxi@email.com,1080
ADR,Adria Airways,adriaairways@email.com,1081
ADS,Aviones de Sonora,avionesdesonora@email.com,1082
ADT,Air Dorval,airdorval@email.com,1083
ADU,Airdeal Oy,airdealoy@email.com,1084
ADV,Advance Air Charters,advanceaircharters@email.com,1085
ADW,Air Andaman,airandaman@email.com,1086
ADX,Anderson Aviation,andersonaviation@email.com,1087
AEA,Air Europa,aireuropa@email.com,1088
ASW,Air Southwest Ltd.,airsouthwestltd.@email.com,1089
ASX,Air Special,airspecial@email.com,1090
AEB,Aero Benin,aerobenin@email.com,1091
AEC,Aerocesar,aerocesar@email.com,1092
AED,Aerotrans Airlines,aerotransairlines@email.com,1093
AEE,Aegean Airlines,aegeanairlines@email.com,1094
AEG,Aerofumigaciones Sam,aerofumigacionessam@email.com,1095
AEI,Aeroexpreso Interamericano,aeroexpresointeramericano@email.com,1096
AEJ,Air Express,airexpress@email.com,1097
AEK,Aerocon,aerocon@email.com,1098
AEM,Aero Madrid,aeromadrid@email.com,1099
AEN,Aeroenlaces Nacionales,aeroenlacesnacionales@email.com,1100
AEO,Aeroservicios Ejecutivos Del Occidente,aeroserviciosejecutivosdeloccidente@email.com,1101
AEP,Aerotec,aerotec@email.com,1102
AAG,Air Atlantique,airatlantique@email.com,1103
AEL,Air Europe,aireurope@email.com,1104
AAJ,Air Alma,airalma@email.com,1105
AEQ,Air Express,airexpress@email.com,1106
AER,Alaska Central Express,alaskacentralexpress@email.com,1107
AES,ACES Colombia,acescolombia@email.com,1108
AET,Aeronautical Radio of Thailand,aeronauticalradioofthailand@email.com,1109
AEU,Astraeus,astraeus@email.com,1110
AEV,Aeroventas,aeroventas@email.com,1111
AEW,Aerosvit Airlines,aerosvitairlines@email.com,1112
AEX,Airway Express,airwayexpress@email.com,1113
AEY,Air Italy,airitaly@email.com,1114
AEZ,Aerial Transit Company,aerialtransitcompany@email.com,1115
AFA,Alfa Air,alfaair@email.com,1116
AFB,American Falcon,americanfalcon@email.com,1117
UTY,Alliance Airlines,allianceairlines@email.com,1118
UVS,Air Universal,airuniversal@email.com,1119
UVT,Auvia Air,auviaair@email.com,1120
AFC,African West Air,africanwestair@email.com,1121
AFE,Airfast Indonesia,airfastindonesia@email.com,1122
AFG,Ariana Afghan Airlines,arianaafghanairlines@email.com,1123
AFH,Air Fecteau,airfecteau@email.com,1124
AFI,Africaone,africaone@email.com,1125
AFJ,Alliance,alliance@email.com,1126
AFK,Africa Air Links,africaairlinks@email.com,1127
AFL,Aeroflot Russian Airlines,aeroflotrussianairlines@email.com,1128
AFO,Aero Empresa Mexicana,aeroempresamexicana@email.com,1129
BON,Air Bosna,airbosna@email.com,1130
BRF,Air Bravo,airbravo@email.com,1131
BRL,Air Brasd'or,airbrasd'or@email.com,1132
BRM,Air 500,air500@email.com,1133
AFQ,Alba Servizi Aerotrasporti,albaserviziaerotrasporti@email.com,1134
AFR,Air France,airfrance@email.com,1135
ACG,Air Partner,airpartner@email.com,1136
ACI,Air Caledonie International,aircaledonieinternational@email.com,1137
ACM,Air Caledonia,aircaledonia@email.com,1138
AGM,Air Guam,airguam@email.com,1139
AGN,Air Gabon,airgabon@email.com,1140
AFS,Air Data,airdata@email.com,1141
AFV,Air Afrique Vacancies,airafriquevacancies@email.com,1142
MVM,Air Cargo America,aircargoamerica@email.com,1143
,Air Salone,airsalone@email.com,1144
NGO,Air-Angol,air-angol@email.com,1145
NGP,Air Nigeria,airnigeria@email.com,1146
SNC,Air Cargo Carriers,aircargocarriers@email.com,1147
SND,Air Samarkand,airsamarkand@email.com,1148
SNG,Air Senegal International,airsenegalinternational@email.com,1149
SNY,Air Sandy,airsandy@email.com,1150
NMB,Air Namibia,airnamibia@email.com,1151
NSK,Air Intersalonika,airintersalonika@email.com,1152
NTL,Air Anatolia,airanatolia@email.com,1153
SGA,Air Saigon,airsaigon@email.com,1154
AFW,Afrique Regional Airways,afriqueregionalairways@email.com,1155
AFX,Airfreight Express,airfreightexpress@email.com,1156
AFY,Africa Chartered Services,africacharteredservices@email.com,1157
AFZ,Africa Freight Services,africafreightservices@email.com,1158
AGA,Aeronaves Del Centro,aeronavesdelcentro@email.com,1159
AGB,Air Service Gabon,airservicegabon@email.com,1160
AGC,Arab Agricultural Aviation Company,arabagriculturalaviationcompany@email.com,1161
AGF,Atlantic Gulf Airlines,atlanticgulfairlines@email.com,1162
SLI,Aerolitoral,aerolitoral@email.com,1163
AGG,Algoma Airways,algomaairways@email.com,1164
AGH,Altagna,altagna@email.com,1165
AGO,Angola Air Charter,angolaaircharter@email.com,1166
